Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
"Snacks, Groceries",single-product.php?id=127,Lays masala pack of 12 ( Rs.10 each),Rs.118,Rs.120,1.7%,assets/images/products/Lays masala pack of 12 ( Rs.10 each)1.jpeg
"Candy & Chocolate, Groceries",single-product.php?id=151,dairy milk chocolate 36 pieces 10 rupee each,Rs.355,Rs.360,1.4%,assets/images/products/dairy milk choclate 36 pieces 10 rupee each1.jpeg
"Snacks, Groceries",single-product.php?id=202,Papad 1kg (80-85) pieces,Rs.550,Rs.600,8.3%,assets/images/products/Papad 1kg (80-85) pieces1.png
"Skin Care, Health & Beauty",single-product.php?id=57,Ponds Cold Cream,Rs.140,Rs.145,3.4%,assets/images/products/Ponds Cold Cream1.jpg
"Biscuits, Groceries",single-product.php?id=99,Lemon pack of 12 each 10 rupee,Rs.118,Rs.120,1.7%,assets/images/products/Lemon pack of 12 each 10 rupee1.png
"Biscuits, Groceries",single-product.php?id=95,Gluco 24 packs of each 5 rupee,Rs.118,Rs.120,1.7%,assets/images/products/Gluco 24 packs of each 5 rupee1.jpeg
"Skin Care, Health & Beauty",single-product.php?id=30,Faiza Beauty Cream,Rs.175,Rs.220,20.5%,assets/images/products/Faiza Beauty Cream1.jpg
"Biscuits, Groceries",single-product.php?id=108,Prince Biscuits pack of 12,Rs.118,Rs.120,1.7%,assets/images/products/Prince Biscuits pack of 121.png
"Skin Care, Health & Beauty",single-product.php?id=39,Action C Beauty Cream,Rs.190,Rs.220,13.6%,assets/images/products/Action C Beauty Cream1.png
"Biscuits, Groceries",single-product.php?id=93,Rio Chocolate Biscuits,Rs.118,Rs.120,1.7%,assets/images/products/Rio Chocolate Biscuits1.jpeg
"Biscuits, Groceries",single-product.php?id=97,Marie biscuits pack of 12 each 10 rupee,Rs.118,Rs.120,1.7%,assets/images/products/Marie biscuits pack of 12 each 10 rupee1.jpeg
"Baking and Cooking, Groceries",single-product.php?id=135,Wheat Flour - Atta 2kg (good Quality),Rs.112,Rs.120,6.7%,assets/images/products/Wheat Flour - Atta 2kg (good Quality)1.jpeg
"Skin Care, Health & Beauty",single-product.php?id=29,Skin Pro Beauty Cream,Rs.190,Rs.230,17.4%,assets/images/products/Sking Pro Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=35,Current Beauty Cream (UBC),Rs.190,Rs.220,13.6%,assets/images/products/Current Beauty Cream (UBC)1.jpg
"Skin Care, Health & Beauty",single-product.php?id=36,A Beauty Cream,Rs.190,Rs.250,24%,assets/images/products/A Beauty Cream1.png
"Skin Care, Health & Beauty",single-product.php?id=37,Sia Beauty Cream,Rs.190,Rs.250,24%,assets/images/products/Sia Beauty Cream1.png
"Skin Care, Health & Beauty",single-product.php?id=44,Jhalak Beauty Cream,Rs.190,Rs.250,24%,assets/images/products/Jhalak Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=45,Noor Herbal Beauty Cream,Rs.200,Rs.230,13%,assets/images/products/Noor Herbal Beauty Cream1.jpg
"Hair Care, Health & Beauty",single-product.php?id=72,Loreal Black -200ml,Rs.235,Rs.240,2.1%,assets/images/products/Loreal Black -200ml1.jpg
"Hair Care, Health & Beauty",single-product.php?id=76,Bano amla hair oil - 100ml,Rs.170,Rs.180,5.6%,assets/images/products/Bano amla hair oil - 100ml1.png
"Hair Care, Health & Beauty",single-product.php?id=80,kala kola hair tonic - 200ml,Rs.230,Rs.240,4.2%,assets/images/products/kala kola hair tonic - 200ml1.jpg
"Laundry & Household, Groceries",single-product.php?id=86,Klear - 500ml,Rs.170,Rs.180,5.6%,assets/images/products/Klear - 500ml1.png
"Biscuits, Groceries",single-product.php?id=115,Tuc biscuits pack of 24,Rs.118,Rs.120,1.7%,assets/images/products/Tuc biscuits pack of 241.jpeg
"Baking and Cooking, Groceries",single-product.php?id=128,Super Kernel Rice (Premium Quality)  - 2kg,Rs.300,Rs.320,6.3%,assets/images/products/Super Kernel Rice (Premium Quality)  - 2kg1.jpeg
"Skin Care, Health & Beauty",single-product.php?id=28,Golden Pearl Beauty Cream,Rs.190,Rs.230,17.4%,assets/images/products/Golden Pearl Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=31,Kiswa Beauty Cream,Rs.190,Rs.300,36.7%,assets/images/products/Kiswa Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=33,Haldi Chandan Beauty Cream,Rs.190,Rs.240,20.8%,assets/images/products/Haldi Chandan Beauty Cream1.png
"Skin Care, Health & Beauty",single-product.php?id=38,Venus Beauty Cream,Rs.190,Rs.300,36.7%,assets/images/products/Venus Beauty Cream1.png
"Skin Care, Health & Beauty",single-product.php?id=40,Navia Beauty Cream,Rs.190,Rs.250,24%,assets/images/products/Navia Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=41,Navia Men,Rs.190,Rs.250,24%,assets/images/products/Navia Men1.jpg
"Skin Care, Health & Beauty",single-product.php?id=42,Chandani Whitening Cream,Rs.190,Rs.250,24%,assets/images/products/Chandani Whitening Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=43,Pure White Balance,Rs.230,Rs.300,23.3%,assets/images/products/Pure White Balance1.jpg
"Skin Care, Health & Beauty",single-product.php?id=46,Sheesha Beauty Cream,Rs.200,Rs.250,20%,assets/images/products/Sheesha Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=47,Seven Herbal Beauty Cream,Rs.200,Rs.225,11.1%,assets/images/products/Seven Herbal Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=48,Due Beauty Cream,Rs.250,Rs.300,16.7%,assets/images/products/Due Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=49,Goree Beauty Cream,Rs.200,Rs.270,25.9%,assets/images/products/Goree Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=50,Dermax Reckle Cream,Rs.110,Rs.125,12%,assets/images/products/Dermax Reckle Cream1.png
"Skin Care, Health & Beauty",single-product.php?id=51,Stillmans Beauty Cream,Rs.250,Rs.260,3.8%,assets/images/products/Stillmans Beauty Cream1.jpg
"Skin Care, Health & Beauty",single-product.php?id=52,Stillmans Red Beauty Cream,Rs.250,Rs.260,3.8%,assets/images/products/Stillmans Red Beauty Cream1.png
"Skin Care, Health & Beauty",single-product.php?id=53,Ponds White Beauty 35gm,Rs.295,Rs.300,1.7%,assets/images/products/Ponds White Beauty 35gm1.jpg
